english_name,chinese_name,pinyin,latin_name,common_names,chinese_alt,type,entity_id
Mugwort Leaf,艾叶,ai ye,Folium Artemisiae Argyi,Moxa|Artemisia|Mugwort,,herb,
Benzoin,安息香,an xi xiang,Benzoinum,Resin|Gum benzoin,,herb,
Croton Seeds,巴豆,ba dou,Croton tiglium,Croton|Purging seeds,,herb,
Morinda Root,巴戟天,ba ji tian,Radix Morindae Officinalis,Morinda,,herb,
Greenbrier,菝契,ba qia,Rhizoma Smilacis Chinensis,Chinaroot|Smilax,,herb,
Akebia Fruit,八月札,ba yue zha,Fructus Akebiae,Chocolate vine|Akebia,,herb,
Hyacinth Bean,白扁豆,bai bian dou,Semen Lablab Album,White bean|Dolichos,,herb,
Stemona Root,百部,bai bu,Radix Stemonae,Stemona|Stemona japonica,,herb,
White Cardamom,白豆蔻,bai dou kou,Fructus Amomi Rotundus,Cardamom|Round cardamom,,herb,
Typhonium Rhizome,白附子,bai fu zi,Rhizoma Typhonii,Giant typhonium,,herb,
Ginkgo Seed,白果,bai guo,Semen Ginkgo,Ginkgo|Maidenhair nut,,herb,
Lily Bulb,百合,bai he,Bulbus Lilii,Lily|Lilium,,herb,
Bungarus Snake,白花蛇,bai hua she,Bungarus parvus,White-lipped viper,,herb,
Hedyotis,白花蛇舌草,bai hua she she cao,Herba Hedyotis Diffusae,Oldenlandia|Fairy needles,,herb,
Bletilla Rhizome,白芨,bai ji,Rhizoma Bletillae,Bletilla|Tuber,,herb,
Tribulus Fruit,白蒺藜,bai ji li,Fructus Tribuli,Caltrop|Puncture vine,,herb,
Patrinia,敗醬草,bai jiang cao,Herba Patriniae,Dahurian patrinia,,herb,
White Mustard Seed,白芥子,bai jie zi,Semen Sinapis Albae,Mustard|Sinapis,,herb,
Imperata Rhizome,白茅根,bai mao gen,Rhizoma Imperatae,Lalang grass|Cogon root,,herb,
Cynanchum Rhizome,白前,bai qian,Rhizoma Cynanchi Stauntonii,Cynanchum,,herb,
White Peony Root,白芍,bai shao,Radix Paeoniae Alba,White peony|Paeonia,,herb,
Pulsatilla Root,白头翁,bai tou weng,Radix Pulsatillae,Chinese anemone,,herb,
Swallowwort Root,白薇,bai wei,Radix Cynanchi Atrati,Swallowwort,,herb,
Dictamnus Bark,白蘚皮,bai xian pi,Cortex Dictamni Radicis,Dittany bark,,herb,
Angelica Root,白芷,bai zhi,Radix Angelicae Dahuricae,Dahurian angelica,,herb,
Atractylodes,白术,bai zhu,Rhizoma Atractylodis Macrocephalae,Largehead atractylodes,,herb,
Biota Seed,柏子仁,bai zi ren,Semen Biotae,Arborvitae|Thuja,,herb,
