generic_name,brand_names,drug_class,uses
Atorvastatin,Lipitor,Statin,High cholesterol|Cardiovascular disease
Metformin,Glucophage,Antidiabetic,Type 2 diabetes
Levothyroxine,Synthroid|Levoxyl,Thyroid hormone,Hypothyroidism
Lisinopril,Prinivil|Zestril,ACE inhibitor,High blood pressure|Heart failure
Amlodipine,Norvasc,Calcium channel blocker,High blood pressure|Angina
Metoprolol,Lopressor|Toprol,Beta blocker,High blood pressure|Heart disease
Albuterol,Ventolin|Proventil,Bronchodilator,Asthma|COPD
Losartan,Cozaar,ARB,High blood pressure
Gabapentin,Neurontin,Anticonvulsant,Nerve pain|Seizures
Omeprazole,Prilosec,Proton pump inhibitor,GERD|Heartburn
Sertraline,Zoloft,SSRI,Depression|Anxiety|OCD
Rosuvastatin,Crestor,Statin,High cholesterol
Pantoprazole,Protonix,Proton pump inhibitor,GERD|Ulcers
Escitalopram,Lexapro,SSRI,Depression|Anxiety
Amphetamine/Dextroamphetamine,Adderall,CNS stimulant,ADHD|Narcolepsy
Hydrochlorothiazide,HydroDiuril|Esidrix,Thiazide diuretic,High blood pressure
Bupropion,Wellbutrin|Aplenzin,NDRI antidepressant,Depression|Smoking cessation
Fluoxetine,Prozac|Sarafem,SSRI,Depression|OCD|Panic
Semaglutide,Ozempic|Wegovy,GLP-1 agonist,Type 2 diabetes|Weight loss
Montelukast,Singulair,Leukotriene antagonist,Asthma|Allergies
Trazodone,Desyrel|Oleptro,Sedating antidepressant,Depression|Insomnia
Simvastatin,Zocor,Statin,High cholesterol
Amoxicillin,Amoxil|Moxatag,Beta-lactam antibiotic,Bacterial infections
Tamsulosin,Flomax|Jalyn,Alpha blocker,Prostate enlargement
Acetaminophen/Hydrocodone,Tylenol 3|Norco|Vicodin,Analgesic|Opioid,Moderate pain
Fluticasone,Flovent|Flonase,Inhaled corticosteroid,Asthma|Allergies
Meloxicam,Celebrex|Anjeso,NSAID,Arthritis|Pain
Apixaban,Eliquis,Anticoagulant,Atrial fibrillation|Blood clots
Furosemide,Lasix|Frude,Loop diuretic,Fluid overload|Heart failure
Insulin Glargine,Lantus|Basaglar|Toujeo,Long-acting insulin,Type 1|Type 2 diabetes
Duloxetine,Cymbalta|Irenka,SNRI,Depression|Anxiety|Fibromyalgia
Ibuprofen,Advil|Motrin|Caldolor,NSAID,Pain|Inflammation|Fever
Famotidine,Pepcid|Pepcid AC,H2 blocker,GERD|Heartburn|Ulcers
Empagliflozin,Jardiance|Synjardy,SGLT2 inhibitor,Type 2 diabetes|Heart failure
Carvedilol,Coreg|Coreg CR,Beta blocker,Heart failure|High blood pressure
Tramadol,Ultram|ConZip,Opioid analgesic,Moderate pain
Alprazolam,Xanax|Xanax XR,Benzodiazepine,Anxiety|Panic disorder
Prednisone,Rayos|Deltasone,Corticosteroid,Inflammation|Autoimmune disorders
Hydroxyzine,Vistaril|Atarax,Antihistamine|Anxiolytic,Anxiety|Itching
Buspirone,Buspar,Azapirone anxiolytic,Anxiety
Clopidogrel,Plavix|Lovapix,Antiplatelet,Heart disease|Stroke prevention
Glipizide,Glucotrol|Glucotrol XL,Sulfonylurea,Type 2 diabetes
Citalopram,Celexa,SSRI,Depression
Potassium Chloride,K-Dur|Micro-K|K-Tab,Electrolyte supplement,Low potassium
Allopurinol,Zyloprim|Aloprim,Xanthine oxidase inhibitor,Gout|High uric acid
Aspirin,Bayer|Ecotrin,NSAID|Antiplatelet,Pain|Fever|Heart disease
Cyclobenzaprine,Flexeril|Amrix,Muscle relaxant,Muscle spasms
Ergocalciferol,Vitamin D2|Calcijex,Vitamin supplement,Vitamin D deficiency
Oxycodone,Oxycontin|Roxicodone|Peroxetine,Opioid analgesic,Severe pain
Methylphenidate,Ritalin|Concerta|Daytrana,CNS stimulant,ADHD|Narcolepsy
Venlafaxine,Effexor|Effexor XR,SNRI,Depression|Anxiety|Hot flashes
Spironolactone,Aldactone|Carospir,Potassium-sparing diuretic,Heart failure|Hypertension
Ondansetron,Zofran|Zuplenz,5-HT3 antagonist,Nausea|Vomiting
Zolpidem,Ambien|Ambien CR|Edluar,Sedative-hypnotic,Insomnia
Cetirizine,Zyrtec|Zyrtec-D,Antihistamine,Allergies|Itching|Urticaria
Estradiol,Estrace|Estraderm|Estring,Hormone,Menopause|Hormone replacement
Pravastatin,Pravachol|Pravigard,Statin,High cholesterol
Hydrochlorothiazide/Lisinopril,Zestoretic|Prinzide,Combination,High blood pressure
Lamotrigine,Lamictal|Lamictal XR|Lamictal ODT,Anticonvulsant,Seizures|Bipolar disorder
Quetiapine,Seroquel|Seroquel XR,Atypical antipsychotic,Schizophrenia|Bipolar
Fluticasone/Salmeterol,Advair|Advair HFA,Combination,Asthma|COPD
Clonazepam,Klonopin|Klonopin Wafers,Benzodiazepine,Seizures|Anxiety|Panic
Dulaglutide,Trulicity|Trulicity Pen,GLP-1 agonist,Type 2 diabetes
Azithromycin,Z-Pack|Zithromax|Azasite,Macrolide antibiotic,Bacterial infections
Hydrochlorothiazide/Losartan,Hyzaar|Hyzaar DS,Combination,High blood pressure
Amoxicillin/Clavulanate,Augmentin|Augmentin ES,Beta-lactam|Beta-lactamase inhibitor,Bacterial infections
Latanoprost,Xalatan|Xelpea,Prostaglandin analogue,Glaucoma|Eye pressure
Cholecalciferol,Vitamin D3|Calcifediol,Vitamin supplement,Vitamin D deficiency
Propranolol,Inderal|Inderal LA|InnopraN XL,Beta blocker,High BP|Migraine|Anxiety
Ezetimibe,Zetia|Vytorin,Cholesterol absorption inhibitor,High cholesterol
Topiramate,Topamax|Topamax Sprinkle,Anticonvulsant,Seizures|Migraine prevention
Paroxetine,Paxil|Paxil CR,SSRI,Depression|Anxiety|PTSD
Diclofenac,Cataflam|Voltaren|Cambia,NSAID,Pain|Inflammation
Budesonide/Formoterol,Symbicort|Symbicort Turbuhaler,Combination,Asthma|COPD
Atenolol,Tenormin|Tenoretic,Beta blocker,High BP|Heart disease
Lisdexamfetamine,Vyvanse|Vyvanse Chewable,CNS stimulant,ADHD
Doxycycline,Vibramycin|Doryx|Acticlate,Tetracycline antibiotic,Bacterial infections
Pregabalin,Lyrica|Lyrica CR,Anticonvulsant,Nerve pain|Fibromyalgia
Ethinyl Estradiol/Norethindrone,Ortho-Cyclen|Ortho 0-35,Oral contraceptive,Birth control
Glimepiride,Amaryl|Duetact,Sulfonylurea,Type 2 diabetes
Tizanidine,Zanaflex|Zanaflex Capsules,Muscle relaxant,Muscle spasms
Clonidine,Kapvay|Catapres|Catapres-TTS,Alpha-2 agonist,High BP|ADHD
Fenofibrate,Tricor|Trilipix|Antara,Fibrate,High triglycerides
Insulin Lispro,Humalog|Humalog Mix,Rapid-acting insulin,Diabetes
Valsartan,Diovan|Diovan HCT|Exforge,ARB,High BP|Heart failure
Cephalexin,Keflex|Keflex Pulvules,Cephalosporin antibiotic,Bacterial infections
Baclofen,Lioresal|Lioresal Intrathecal,Muscle relaxant,Muscle spasticity
Rivaroxaban,Xarelto|Xarelto Sprinkle,Anticoagulant,Blood clots|Atrial fibrillation
Ferrous Sulfate,Feosol|Slow Fe|Fer-In-Sol,Iron supplement,Iron deficiency anemia
Amitriptyline,Elavil|Endep,Tricyclic antidepressant,Depression|Chronic pain
Finasteride,Proscar|Propecia,5-alpha reductase inhibitor,Prostate|Male pattern baldness
Dapagliflozin,Farxiga|Forxiga|Xigduo,SGLT2 inhibitor,Type 2 diabetes|Heart failure
Acetaminophen/Oxycodone,Percocet|Tylenol 4|Roxicet,Analgesic|Opioid,Moderate-severe pain
Folic Acid,Folvite|Folic Acid,B vitamin,Folate deficiency|Pregnancy
Aripiprazole,Abilify|Abilify Maintena,Atypical antipsychotic,Schizophrenia|Bipolar
Olmesartan,Benicar|Benicar HCT|Azor,ARB,High blood pressure
Ethinyl Estradiol/Norgestimate,Ortho Cyclen|Sprintec,Oral contraceptive,Birth control
Valacyclovir,Valtrex|Valcyte,Antiviral,Herpes|Shingles|Chickenpox
Mirtazapine,Remeron|Remeron SolTab,Tetracyclic antidepressant,Depression
Lorazepam,Ativan|Ativan Injection,Benzodiazepine,Anxiety|Seizures
Levetiracetam,Keppra|Keppra XR|Roweepra,Anticonvulsant,Seizures
